id_usuari,id_llibre,score,genere_persona,any_naixement,pref_adaptacio_peli,pref_best_seller,pref_tipus_lectura,pref_sagues,comprat,Ciència Ficció,Històrica,Ficció,Comèdia,Romàntic,Fantasia,Ciència,Creixement personal,Policiaca,Juvenil,pagines_max,Idioma
52,39,3.0,Dona,1983,Si,Indiferent,Indiferent,No,No,0,0,0,0,0,0,0,1,0,0,10000,"{'Espanyol', 'Català'}"
52,57,4.0,Dona,1983,Si,Indiferent,Indiferent,No,No,0,0,0,0,0,0,0,1,0,0,10000,"{'Espanyol', 'Català'}"
52,38,4.0,Dona,1983,Si,Indiferent,Indiferent,No,Si,0,0,0,0,0,0,0,1,0,0,10000,"{'Espanyol', 'Català'}"
53,39,5.0,Home,1997,Indiferent,Indiferent,Fluida,Indiferent,Si,0,1,0,0,0,0,1,1,0,0,350,"{'Anglès', 'Espanyol'}"
53,38,5.0,Home,1997,Indiferent,Indiferent,Fluida,Indiferent,Si,0,1,0,0,0,0,1,1,0,0,350,"{'Anglès', 'Espanyol'}"
53,94,5.0,Home,1997,Indiferent,Indiferent,Fluida,Indiferent,Si,0,1,0,0,0,0,1,1,0,0,350,"{'Anglès', 'Espanyol'}"
53,77,5.0,Home,1997,Indiferent,Indiferent,Fluida,Indiferent,Si,0,1,0,0,0,0,1,1,0,0,350,"{'Anglès', 'Espanyol'}"
53,53,4.0,Home,1997,Indiferent,Indiferent,Fluida,Indiferent,Si,0,1,0,0,0,0,1,1,0,0,350,"{'Anglès', 'Espanyol'}"
53,103,5.0,Home,1997,Indiferent,Indiferent,Fluida,Indiferent,Si,0,1,0,0,0,0,1,1,0,0,350,"{'Anglès', 'Espanyol'}"
53,57,4.0,Home,1997,Indiferent,Indiferent,Fluida,Indiferent,Si,0,1,0,0,0,0,1,1,0,0,350,"{'Anglès', 'Espanyol'}"
53,47,3.0,Home,1997,Indiferent,Indiferent,Fluida,Indiferent,No,0,1,0,0,0,0,1,1,0,0,350,"{'Anglès', 'Espanyol'}"
53,6,5.0,Home,1997,Indiferent,Indiferent,Fluida,Indiferent,Si,0,1,0,0,0,0,1,1,0,0,350,"{'Anglès', 'Espanyol'}"
54,77,5.0,Home,2004,Indiferent,Indiferent,Indiferent,Indiferent,Si,1,1,0,0,0,0,0,1,0,0,500,"{'Anglès', 'Espanyol', 'Català'}"
54,103,1.0,Home,2004,Indiferent,Indiferent,Indiferent,Indiferent,No,1,1,0,0,0,0,0,1,0,0,500,"{'Anglès', 'Espanyol', 'Català'}"
54,39,5.0,Home,2004,Indiferent,Indiferent,Indiferent,Indiferent,Si,1,1,0,0,0,0,0,1,0,0,500,"{'Anglès', 'Espanyol', 'Català'}"
54,53,4.0,Home,2004,Indiferent,Indiferent,Indiferent,Indiferent,Si,0,0,1,0,1,0,0,1,0,0,500,"{'Anglès', 'Espanyol', 'Català'}"
54,94,5.0,Home,2004,Indiferent,Indiferent,Indiferent,Indiferent,Si,0,0,1,0,1,0,0,1,0,0,500,"{'Anglès', 'Espanyol', 'Català'}"
54,103,1.0,Home,2004,Indiferent,Indiferent,Indiferent,Indiferent,No,0,0,1,0,1,0,0,1,0,0,500,"{'Anglès', 'Espanyol', 'Català'}"
55,11,4.0,Dona,2003,Indiferent,Indiferent,Indiferent,Indiferent,Si,1,0,1,1,1,0,0,0,0,0,1000,"{'Espanyol', 'Català'}"
55,76,4.0,Dona,2003,Indiferent,Indiferent,Indiferent,Indiferent,Si,1,0,1,1,1,0,0,0,0,0,1000,"{'Espanyol', 'Català'}"
55,78,4.0,Dona,2003,Indiferent,Indiferent,Indiferent,Indiferent,Si,1,0,1,1,1,0,0,0,0,0,1000,"{'Espanyol', 'Català'}"
55,98,5.0,Dona,2003,Indiferent,Indiferent,Indiferent,Indiferent,Si,1,0,1,1,1,0,0,0,0,0,1000,"{'Espanyol', 'Català'}"
55,90,3.0,Dona,2003,Indiferent,Indiferent,Indiferent,Indiferent,No,1,0,1,1,1,0,0,0,0,0,1000,"{'Espanyol', 'Català'}"
56,71,5.0,Dona,2001,Indiferent,Indiferent,Indiferent,Indiferent,Si,0,1,0,0,1,0,0,0,0,0,1000,"{'Espanyol', 'Català'}"
56,69,5.0,Dona,2001,Indiferent,Indiferent,Indiferent,Indiferent,Si,0,1,0,0,1,0,0,0,0,0,1000,"{'Espanyol', 'Català'}"
56,70,4.0,Dona,2001,Indiferent,Indiferent,Indiferent,Indiferent,Si,0,1,0,0,1,0,0,0,0,0,1000,"{'Espanyol', 'Català'}"
56,43,5.0,Dona,2001,Indiferent,Indiferent,Indiferent,Indiferent,Si,0,1,0,0,1,0,0,0,0,0,1000,"{'Espanyol', 'Català'}"
56,88,5.0,Dona,2001,Indiferent,Indiferent,Indiferent,Indiferent,Si,0,1,0,0,1,0,0,0,0,0,1000,"{'Espanyol', 'Català'}"
56,73,5.0,Dona,2001,Indiferent,Indiferent,Indiferent,Indiferent,No,0,1,0,0,1,0,0,0,0,0,1000,"{'Espanyol', 'Català'}"
57,28,4.0,Dona,2003,Indiferent,No,Indiferent,Indiferent,Si,0,1,0,0,0,0,0,1,1,0,400,"{'Anglès', 'Espanyol', 'Català'}"
57,105,5.0,Dona,2003,Indiferent,No,Indiferent,Indiferent,Si,0,1,0,0,0,0,0,1,1,0,400,"{'Anglès', 'Espanyol', 'Català'}"
57,106,3.0,Dona,2003,Indiferent,No,Indiferent,Indiferent,Si,0,1,0,0,0,0,0,1,1,0,400,"{'Anglès', 'Espanyol', 'Català'}"
57,78,2.0,Dona,2003,Indiferent,No,Indiferent,Indiferent,Si,0,1,0,0,0,0,0,1,1,0,400,"{'Anglès', 'Espanyol', 'Català'}"
57,29,5.0,Dona,2003,Indiferent,No,Indiferent,Indiferent,Si,0,1,0,0,0,0,0,1,1,0,400,"{'Anglès', 'Espanyol', 'Català'}"
57,100,5.0,Dona,2003,Indiferent,No,Indiferent,Indiferent,Si,0,1,0,0,0,0,0,1,1,0,400,"{'Anglès', 'Espanyol', 'Català'}"
58,23,3.0,Home,1989,Indiferent,Indiferent,Indiferent,Indiferent,Si,0,1,0,0,1,0,0,0,1,0,1000,"{'Espanyol', 'Català'}"
58,100,4.0,Home,1989,Indiferent,Indiferent,Indiferent,Indiferent,Si,0,1,0,0,1,0,0,0,1,0,1000,"{'Espanyol', 'Català'}"
58,6,2.0,Home,1989,Indiferent,Indiferent,Indiferent,Indiferent,Si,0,1,0,0,1,0,0,0,1,0,1000,"{'Espanyol', 'Català'}"
59,100,3.0,Home,1961,Si,Si,Indiferent,Indiferent,Si,0,0,1,1,0,0,0,0,0,0,1000,"{'Espanyol', 'Català'}"
59,99,5.0,Home,1961,Si,Si,Indiferent,Indiferent,Si,0,0,1,1,0,0,0,0,0,0,1000,"{'Espanyol', 'Català'}"
